Size, Type, Time
100, "Sequential", 0.000008
100, "Parallel", 0.002894
100, "Built-in", 0.000009
100, "Sequential", 0.000008
100, "Parallel", 0.002055
100, "Built-in", 0.000008
100, "Sequential", 0.000009
100, "Parallel", 0.002487
100, "Built-in", 0.000008
100, "Sequential", 0.000008
100, "Parallel", 0.002494
100, "Built-in", 0.000009
100, "Sequential", 0.000008
100, "Parallel", 0.002235
100, "Built-in", 0.000009
1000, "Sequential", 0.000103
1000, "Parallel", 0.015560
1000, "Built-in", 0.000107
1000, "Sequential", 0.000139
1000, "Parallel", 0.013396
1000, "Built-in", 0.000068
1000, "Sequential", 0.000101
1000, "Parallel", 0.013986
1000, "Built-in", 0.000108
1000, "Sequential", 0.000072
1000, "Parallel", 0.013830
1000, "Built-in", 0.000069
1000, "Sequential", 0.000099
1000, "Parallel", 0.013790
1000, "Built-in", 0.000107
10000, "Sequential", 0.000893
10000, "Parallel", 0.024754
10000, "Built-in", 0.000853
10000, "Sequential", 0.001079
10000, "Parallel", 0.025105
10000, "Built-in", 0.000913
10000, "Sequential", 0.000943
10000, "Parallel", 0.023440
10000, "Built-in", 0.000854
10000, "Sequential", 0.000976
10000, "Parallel", 0.025877
10000, "Built-in", 0.000847
10000, "Sequential", 0.000962
10000, "Parallel", 0.025655
10000, "Built-in", 0.000859
100000, "Sequential", 0.010753
100000, "Parallel", 0.026732
100000, "Built-in", 0.010696
100000, "Sequential", 0.010686
100000, "Parallel", 0.027630
100000, "Built-in", 0.010703
100000, "Sequential", 0.010614
100000, "Parallel", 0.027929
100000, "Built-in", 0.011094
100000, "Sequential", 0.010530
100000, "Parallel", 0.028356
100000, "Built-in", 0.010898
100000, "Sequential", 0.015369
100000, "Parallel", 0.025546
100000, "Built-in", 0.011323
1000000, "Sequential", 0.118249
1000000, "Parallel", 0.164154
1000000, "Built-in", 0.122310
1000000, "Sequential", 0.117357
1000000, "Parallel", 0.164701
1000000, "Built-in", 0.120151
1000000, "Sequential", 0.116119
1000000, "Parallel", 0.164358
1000000, "Built-in", 0.120703
1000000, "Sequential", 0.116821
1000000, "Parallel", 0.161218
1000000, "Built-in", 0.119962
1000000, "Sequential", 0.117143
1000000, "Parallel", 0.163642
1000000, "Built-in", 0.122721
