Size, Seq, Par, Libc
100, 0.000006, 0.003873, 0.000006
100, 0.000007, 0.004316, 0.000008
100, 0.000008, 0.003750, 0.000007
100, 0.000008, 0.003939, 0.000008
100, 0.000006, 0.003527, 0.000006
1000, 0.000099, 0.012728, 0.000106
1000, 0.000071, 0.012605, 0.000067
1000, 0.000069, 0.013429, 0.000067
1000, 0.000096, 0.014391, 0.000067
1000, 0.000069, 0.012178, 0.000066
10000, 0.001135, 0.022709, 0.000890
10000, 0.001139, 0.022610, 0.001138
10000, 0.000890, 0.021681, 0.000857
10000, 0.000974, 0.024755, 0.000851
10000, 0.000878, 0.022765, 0.000856
100000, 0.010600, 0.037466, 0.010669
100000, 0.010537, 0.029058, 0.011492
100000, 0.010620, 0.027245, 0.010593
100000, 0.010526, 0.028893, 0.010859
100000, 0.015322, 0.031726, 0.010849
1000000, 0.117020, 0.159167, 0.120473
1000000, 0.117296, 0.163009, 0.121296
1000000, 0.116363, 0.159271, 0.123091
1000000, 0.115814, 0.157018, 0.120608
1000000, 0.116156, 0.158582, 0.131216
