Size, Type, Time
1000, "Sequential", 0.000104
1000, "Parallel", 0.015839
1000, "Built-in", 0.000104
1000, "Sequential", 0.000105
1000, "Parallel", 0.015318
1000, "Built-in", 0.000109
1000, "Sequential", 0.000104
1000, "Parallel", 0.013021
1000, "Built-in", 0.000102
1000, "Sequential", 0.000108
1000, "Parallel", 0.014709
1000, "Built-in", 0.000106
1000, "Sequential", 0.000111
1000, "Parallel", 0.014293
1000, "Built-in", 0.000068
1000, "Sequential", 0.000111
1000, "Parallel", 0.011338
1000, "Built-in", 0.000104
1000, "Sequential", 0.000150
1000, "Parallel", 0.017090
1000, "Built-in", 0.000109
1000, "Sequential", 0.000122
1000, "Parallel", 0.016290
1000, "Built-in", 0.000069
1000, "Sequential", 0.000090
1000, "Parallel", 0.016255
1000, "Built-in", 0.000067
10000, "Sequential", 0.000105
10000, "Parallel", 0.014274
10000, "Built-in", 0.000107
10000, "Sequential", 0.000906
10000, "Parallel", 0.023222
10000, "Built-in", 0.000856
10000, "Sequential", 0.000931
10000, "Parallel", 0.027445
10000, "Built-in", 0.000851
10000, "Sequential", 0.000888
10000, "Parallel", 0.022496
10000, "Built-in", 0.000861
10000, "Sequential", 0.000924
10000, "Parallel", 0.027736
10000, "Built-in", 0.000913
10000, "Sequential", 0.000878
10000, "Parallel", 0.026005
10000, "Built-in", 0.000859
10000, "Sequential", 0.000956
10000, "Parallel", 0.028790
10000, "Built-in", 0.000886
10000, "Sequential", 0.000877
10000, "Parallel", 0.028088
10000, "Built-in", 0.000845
10000, "Sequential", 0.000896
10000, "Parallel", 0.026111
10000, "Built-in", 0.000962
10000, "Sequential", 0.001251
10000, "Parallel", 0.024027
10000, "Built-in", 0.000855
100000, "Sequential", 0.000892
100000, "Parallel", 0.024793
100000, "Built-in", 0.000851
100000, "Sequential", 0.010507
100000, "Parallel", 0.034928
100000, "Built-in", 0.010837
100000, "Sequential", 0.010467
100000, "Parallel", 0.037171
100000, "Built-in", 0.011236
100000, "Sequential", 0.010590
100000, "Parallel", 0.036115
100000, "Built-in", 0.010731
100000, "Sequential", 0.012248
100000, "Parallel", 0.041218
100000, "Built-in", 0.010513
100000, "Sequential", 0.010597
100000, "Parallel", 0.035566
100000, "Built-in", 0.011450
100000, "Sequential", 0.010495
100000, "Parallel", 0.034173
100000, "Built-in", 0.010707
100000, "Sequential", 0.010506
100000, "Parallel", 0.037982
100000, "Built-in", 0.010906
100000, "Sequential", 0.010418
100000, "Parallel", 0.035985
100000, "Built-in", 0.010685
100000, "Sequential", 0.010417
100000, "Parallel", 0.040793
100000, "Built-in", 0.011046
1000000, "Sequential", 0.010944
1000000, "Parallel", 0.039926
1000000, "Built-in", 0.010938
1000000, "Sequential", 0.121609
1000000, "Parallel", 0.161403
1000000, "Built-in", 0.125994
1000000, "Sequential", 0.123982
1000000, "Parallel", 0.160695
1000000, "Built-in", 0.126408
1000000, "Sequential", 0.122703
1000000, "Parallel", 0.161807
1000000, "Built-in", 0.124498
1000000, "Sequential", 0.120442
1000000, "Parallel", 0.162682
1000000, "Built-in", 0.125615
1000000, "Sequential", 0.125988
1000000, "Parallel", 0.151597
1000000, "Built-in", 0.124380
1000000, "Sequential", 0.124579
1000000, "Parallel", 0.157259
1000000, "Built-in", 0.126971
1000000, "Sequential", 0.122169
1000000, "Parallel", 0.157792
1000000, "Built-in", 0.126089
1000000, "Sequential", 0.125822
1000000, "Parallel", 0.160277
1000000, "Built-in", 0.125661
1000000, "Sequential", 0.123648
1000000, "Parallel", 0.163759
1000000, "Built-in", 0.125610
10000000, "Sequential", 0.125159
10000000, "Parallel", 0.160584
10000000, "Built-in", 0.125590
5000000, "Sequential", 0.676550
5000000, "Parallel", 0.761185
5000000, "Built-in", 0.700210
5000000, "Sequential", 0.688604
5000000, "Parallel", 0.775939
5000000, "Built-in", 0.696181
5000000, "Sequential", 0.681451
5000000, "Parallel", 0.780458
5000000, "Built-in", 0.698535
5000000, "Sequential", 0.674762
5000000, "Parallel", 0.780587
5000000, "Built-in", 0.698114
5000000, "Sequential", 0.692437
5000000, "Parallel", 0.790909
5000000, "Built-in", 0.701167
5000000, "Sequential", 0.697427
5000000, "Parallel", 0.746258
5000000, "Built-in", 0.709196
5000000, "Sequential", 0.681063
5000000, "Parallel", 0.771139
5000000, "Built-in", 0.704374
5000000, "Sequential", 0.692561
5000000, "Parallel", 0.765590
5000000, "Built-in", 0.699035
5000000, "Sequential", 0.680118
5000000, "Parallel", 0.775327
5000000, "Built-in", 0.694646
50000000, "Sequential", 0.692307
50000000, "Parallel", 0.772546
50000000, "Built-in", 0.702051
