Size, Type, Time
1000, "Sequential", 0.000099
1000, "Parallel", 0.014766
1000, "Built-in", 0.000106
1000, "Sequential", 0.000104
1000, "Parallel", 0.012195
1000, "Built-in", 0.000068
1000, "Sequential", 0.000110
1000, "Parallel", 0.011600
1000, "Built-in", 0.000104
1000, "Sequential", 0.000071
1000, "Parallel", 0.013216
1000, "Built-in", 0.000067
1000, "Sequential", 0.000106
1000, "Parallel", 0.014245
1000, "Built-in", 0.000109
10000, "Sequential", 0.000890
10000, "Parallel", 0.022603
10000, "Built-in", 0.000912
10000, "Sequential", 0.000907
10000, "Parallel", 0.025959
10000, "Built-in", 0.000851
10000, "Sequential", 0.000911
10000, "Parallel", 0.022569
10000, "Built-in", 0.000953
10000, "Sequential", 0.001042
10000, "Parallel", 0.022884
10000, "Built-in", 0.000979
10000, "Sequential", 0.001230
10000, "Parallel", 0.023792
10000, "Built-in", 0.000966
100000, "Sequential", 0.010719
100000, "Parallel", 0.036852
100000, "Built-in", 0.010605
100000, "Sequential", 0.010581
100000, "Parallel", 0.037702
100000, "Built-in", 0.010504
100000, "Sequential", 0.010594
100000, "Parallel", 0.037541
100000, "Built-in", 0.010660
100000, "Sequential", 0.010659
100000, "Parallel", 0.035516
100000, "Built-in", 0.010867
100000, "Sequential", 0.011687
100000, "Parallel", 0.034169
100000, "Built-in", 0.010961
200000, "Sequential", 0.021861
200000, "Parallel", 0.042345
200000, "Built-in", 0.022058
200000, "Sequential", 0.022486
200000, "Parallel", 0.045523
200000, "Built-in", 0.023286
200000, "Sequential", 0.024267
200000, "Parallel", 0.044205
200000, "Built-in", 0.022739
200000, "Sequential", 0.020824
200000, "Parallel", 0.042476
200000, "Built-in", 0.021831
200000, "Sequential", 0.020841
200000, "Parallel", 0.039283
200000, "Built-in", 0.024297
500000, "Sequential", 0.055706
500000, "Parallel", 0.083994
500000, "Built-in", 0.058006
500000, "Sequential", 0.056841
500000, "Parallel", 0.085191
500000, "Built-in", 0.057975
500000, "Sequential", 0.055481
500000, "Parallel", 0.082892
500000, "Built-in", 0.056471
500000, "Sequential", 0.056329
500000, "Parallel", 0.086904
500000, "Built-in", 0.058117
500000, "Sequential", 0.056037
500000, "Parallel", 0.082245
500000, "Built-in", 0.057314
1000000, "Sequential", 0.121252
1000000, "Parallel", 0.160846
1000000, "Built-in", 0.121472
1000000, "Sequential", 0.118920
1000000, "Parallel", 0.165393
1000000, "Built-in", 0.119245
1000000, "Sequential", 0.120117
1000000, "Parallel", 0.161872
1000000, "Built-in", 0.119001
1000000, "Sequential", 0.118549
1000000, "Parallel", 0.164083
1000000, "Built-in", 0.121974
1000000, "Sequential", 0.115519
1000000, "Parallel", 0.165653
1000000, "Built-in", 0.123056
2000000, "Sequential", 0.250376
2000000, "Parallel", 0.304114
2000000, "Built-in", 0.257393
2000000, "Sequential", 0.250346
2000000, "Parallel", 0.318140
2000000, "Built-in", 0.256225
2000000, "Sequential", 0.254683
2000000, "Parallel", 0.316864
2000000, "Built-in", 0.257786
2000000, "Sequential", 0.250971
2000000, "Parallel", 0.316148
2000000, "Built-in", 0.259234
2000000, "Sequential", 0.251264
2000000, "Parallel", 0.314734
2000000, "Built-in", 0.256941
5000000, "Sequential", 0.665863
5000000, "Parallel", 0.756768
5000000, "Built-in", 0.692049
5000000, "Sequential", 0.663892
5000000, "Parallel", 0.735810
5000000, "Built-in", 0.691059
5000000, "Sequential", 0.669914
5000000, "Parallel", 0.728279
5000000, "Built-in", 0.685355
5000000, "Sequential", 0.660033
5000000, "Parallel", 0.756246
5000000, "Built-in", 0.687622
5000000, "Sequential", 0.666186
5000000, "Parallel", 0.759971
5000000, "Built-in", 0.689777
10000000, "Sequential", 1.377103
10000000, "Parallel", 1.493441
10000000, "Built-in", 1.454992
10000000, "Sequential", 1.379366
10000000, "Parallel", 1.493300
10000000, "Built-in", 1.464017
10000000, "Sequential", 1.396530
10000000, "Parallel", 1.475545
10000000, "Built-in", 1.448188
10000000, "Sequential", 1.374753
10000000, "Parallel", 1.489481
10000000, "Built-in", 1.433087
10000000, "Sequential", 1.391610
10000000, "Parallel", 1.536773
10000000, "Built-in", 1.438100
