Size, Type, Time
10000, "Sequential", 0.000809
10000, "Parallel", 0.024780
10000, "Built-in", 0.001266
10000, "Sequential", 0.000882
10000, "Parallel", 0.025727
10000, "Built-in", 0.000934
10000, "Sequential", 0.000898
10000, "Parallel", 0.028839
10000, "Built-in", 0.000846
10000, "Sequential", 0.000864
10000, "Parallel", 0.028800
10000, "Built-in", 0.000930
10000, "Sequential", 0.000870
10000, "Parallel", 0.027458
10000, "Built-in", 0.000851
1000000, "Sequential", 0.118306
1000000, "Parallel", 0.164624
1000000, "Built-in", 0.121923
1000000, "Sequential", 0.120266
1000000, "Parallel", 0.166355
1000000, "Built-in", 0.120582
1000000, "Sequential", 0.118972
1000000, "Parallel", 0.157836
1000000, "Built-in", 0.122095
1000000, "Sequential", 0.120513
1000000, "Parallel", 0.155167
1000000, "Built-in", 0.120969
1000000, "Sequential", 0.121817
1000000, "Parallel", 0.159277
1000000, "Built-in", 0.120390
100000, "Sequential", 0.009815
100000, "Parallel", 0.038111
100000, "Built-in", 0.010686
100000, "Sequential", 0.010462
100000, "Parallel", 0.034912
100000, "Built-in", 0.010704
100000, "Sequential", 0.010517
100000, "Parallel", 0.033675
100000, "Built-in", 0.010653
100000, "Sequential", 0.010490
100000, "Parallel", 0.033090
100000, "Built-in", 0.010738
100000, "Sequential", 0.010467
100000, "Parallel", 0.036841
100000, "Built-in", 0.010678
1000, "Sequential", 0.000074
1000, "Parallel", 0.014318
1000, "Built-in", 0.000088
1000, "Sequential", 0.000072
1000, "Parallel", 0.013414
1000, "Built-in", 0.000068
1000, "Sequential", 0.000110
1000, "Parallel", 0.014774
1000, "Built-in", 0.000108
1000, "Sequential", 0.000107
1000, "Parallel", 0.014902
1000, "Built-in", 0.000105
1000, "Sequential", 0.000075
1000, "Parallel", 0.013649
1000, "Built-in", 0.000068
5000000, "Sequential", 0.670958
5000000, "Parallel", 0.756190
5000000, "Built-in", 0.666553
5000000, "Sequential", 0.662329
5000000, "Parallel", 0.755363
5000000, "Built-in", 0.716850
5000000, "Sequential", 0.660083
5000000, "Parallel", 0.750383
5000000, "Built-in", 0.683229
5000000, "Sequential", 0.665587
5000000, "Parallel", 0.794725
5000000, "Built-in", 0.682090
5000000, "Sequential", 0.668732
5000000, "Parallel", 0.779534
5000000, "Built-in", 0.689776
