Size, Type, Time
1000, "Sequential", 0.000099
1000, "Parallel", 0.015103
1000, "Built-in", 0.000105
1000, "Sequential", 0.000072
1000, "Parallel", 0.013262
1000, "Built-in", 0.000105
1000, "Sequential", 0.000070
1000, "Parallel", 0.013954
1000, "Built-in", 0.000067
1000, "Sequential", 0.000103
1000, "Parallel", 0.013020
1000, "Built-in", 0.000111
1000, "Sequential", 0.000071
1000, "Parallel", 0.013583
1000, "Built-in", 0.000069
1000, "Sequential", 0.000071
1000, "Parallel", 0.012923
1000, "Built-in", 0.000066
1000, "Sequential", 0.000208
1000, "Parallel", 0.012379
1000, "Built-in", 0.000074
1000, "Sequential", 0.000111
1000, "Parallel", 0.016300
1000, "Built-in", 0.000106
1000, "Sequential", 0.000073
1000, "Parallel", 0.011270
1000, "Built-in", 0.000067
10000, "Sequential", 0.000105
10000, "Parallel", 0.012745
10000, "Built-in", 0.000105
2000000, "Sequential", 0.243085
2000000, "Parallel", 0.313287
2000000, "Built-in", 0.251356
2000000, "Sequential", 0.241427
2000000, "Parallel", 0.302985
2000000, "Built-in", 0.251706
2000000, "Sequential", 0.246815
2000000, "Parallel", 0.318520
2000000, "Built-in", 0.250592
2000000, "Sequential", 0.240728
2000000, "Parallel", 0.308598
2000000, "Built-in", 0.277368
2000000, "Sequential", 0.243850
2000000, "Parallel", 0.304056
2000000, "Built-in", 0.249836
2000000, "Sequential", 0.243840
2000000, "Parallel", 0.313999
2000000, "Built-in", 0.252791
2000000, "Sequential", 0.244136
2000000, "Parallel", 0.296309
2000000, "Built-in", 0.248839
2000000, "Sequential", 0.242105
2000000, "Parallel", 0.303588
2000000, "Built-in", 0.251258
2000000, "Sequential", 0.249217
2000000, "Parallel", 0.307686
2000000, "Built-in", 0.250295
20000000, "Sequential", 0.245838
20000000, "Parallel", 0.313496
20000000, "Built-in", 0.251857
10000, "Sequential", 0.001225
10000, "Parallel", 0.020911
10000, "Built-in", 0.001499
10000, "Sequential", 0.001391
10000, "Parallel", 0.020823
10000, "Built-in", 0.000855
10000, "Sequential", 0.000886
10000, "Parallel", 0.022535
10000, "Built-in", 0.000850
10000, "Sequential", 0.000947
10000, "Parallel", 0.022882
10000, "Built-in", 0.000850
10000, "Sequential", 0.001152
10000, "Parallel", 0.023341
10000, "Built-in", 0.000900
10000, "Sequential", 0.000869
10000, "Parallel", 0.024045
10000, "Built-in", 0.000984
10000, "Sequential", 0.000902
10000, "Parallel", 0.020081
10000, "Built-in", 0.000933
10000, "Sequential", 0.000885
10000, "Parallel", 0.025845
10000, "Built-in", 0.000932
10000, "Sequential", 0.000895
10000, "Parallel", 0.024129
10000, "Built-in", 0.000850
100000, "Sequential", 0.001032
100000, "Parallel", 0.022938
100000, "Built-in", 0.000859
1000000, "Sequential", 0.116942
1000000, "Parallel", 0.150870
1000000, "Built-in", 0.119871
1000000, "Sequential", 0.118434
1000000, "Parallel", 0.155871
1000000, "Built-in", 0.119563
1000000, "Sequential", 0.119678
1000000, "Parallel", 0.156763
1000000, "Built-in", 0.124279
1000000, "Sequential", 0.120744
1000000, "Parallel", 0.156442
1000000, "Built-in", 0.122076
1000000, "Sequential", 0.119308
1000000, "Parallel", 0.158001
1000000, "Built-in", 0.122696
1000000, "Sequential", 0.119531
1000000, "Parallel", 0.159587
1000000, "Built-in", 0.124037
1000000, "Sequential", 0.118202
1000000, "Parallel", 0.164855
1000000, "Built-in", 0.118699
1000000, "Sequential", 0.118895
1000000, "Parallel", 0.156306
1000000, "Built-in", 0.129281
1000000, "Sequential", 0.118168
1000000, "Parallel", 0.158101
1000000, "Built-in", 0.120539
10000000, "Sequential", 0.117512
10000000, "Parallel", 0.163300
10000000, "Built-in", 0.121920
500000, "Sequential", 0.059729
500000, "Parallel", 0.088501
500000, "Built-in", 0.057509
